arrival_time,service_start_time,service_end_time,service_time,waiting_time ,inter-arrival_time
4:41:10 PM,4:50:22 PM,4:51:23 PM,0:01:01,0:09:12,0:00:03
4:41:20 PM,4:51:23 PM,4:51:55 PM,0:00:32,0:10:03,0:00:10
4:41:21 PM,4:51:55 PM,4:52:15 PM,0:00:20,0:10:34,0:00:01
4:41:22 PM,4:52:15 PM,4:52:46 PM,0:00:31,0:10:53,0:00:01
4:41:23 PM,4:52:46 PM,4:53:20 PM,0:00:34,0:11:23,0:00:01
4:42:27 PM,4:53:20 PM,4:54:50 PM,0:01:30,0:10:53,0:01:04
4:42:28 PM,4:54:50 PM,4:55:20 PM,0:00:30,0:12:22,0:00:01
4:42:29 PM,4:55:20 PM,4:56:20 PM,0:01:00,0:12:51,0:00:01
4:43:17 PM,4:56:20 PM,4:57:10 PM,0:00:50,0:13:03,0:00:48
4:43:18 PM,4:57:10 PM,4:58:23 PM,0:01:13,0:13:52,0:00:01
4:46:17 PM,4:58:23 PM,4:58:55 PM,0:00:32,0:12:06,0:02:59
4:49:25 PM,4:58:55 PM,4:59:24 PM,0:00:29,0:09:30,0:03:08
4:52:07 PM,4:59:24 PM,5:00:24 PM,0:01:00,0:07:17,0:02:42
4:53:11 PM,5:00:24 PM,5:00:58 PM,0:00:34,0:07:13,0:01:04
4:53:11 PM,5:00:58 PM,5:02:00 PM,0:01:02,0:07:47,0:00:00
4:57:11 PM,5:02:00 PM,5:02:45 PM,0:00:45,0:04:49,0:04:00
4:57:12 PM,5:02:45 PM,5:03:36 PM,0:00:51,0:05:33,0:00:01
4:57:13 PM,5:03:38 PM,5:04:11 PM,0:00:33,0:06:25,0:00:01
4:57:14 PM,5:04:11 PM,5:04:59 PM,0:00:48,0:06:57,0:00:01
4:57:15 PM,5:04:59 PM,5:05:46 PM,0:00:47,0:07:44,0:00:01
4:57:16 PM,5:05:46 PM,5:06:57 PM,0:01:11,0:08:30,0:00:01
4:58:42 PM,5:06:57 PM,5:07:15 PM,0:00:18,0:08:15,0:01:26
5:01:28 PM,5:07:15 PM,5:08:22 PM,0:01:07,0:05:47,0:02:46
5:02:48 PM,5:08:22 PM,5:09:42 PM,0:01:20,0:05:34,0:01:20
5:02:55 PM,5:09:42 PM,5:10:55 PM,0:01:13,0:06:47,0:00:07
5:03:15 PM,5:10:55 PM,5:11:15 PM,0:00:20,0:07:40,0:00:20
5:03:15 PM,5:11:15 PM,5:11:52 PM,0:00:37,0:08:00,0:00:00
5:03:16 PM,5:11:52 PM,5:13:58 PM,0:02:06,0:08:36,0:00:01
5:03:18 PM,5:13:58 PM,5:15:28 PM,0:01:30,0:10:40,0:00:02
5:03:20 PM,5:15:28 PM,5:16:38 PM,0:01:10,0:12:08,0:00:02
5:03:25 PM,5:16:38 PM,5:17:55 PM,0:01:17,0:13:13,0:00:05
5:03:26 PM,5:17:55 PM,5:18:33 PM,0:00:38,0:14:29,0:00:01
5:03:27 PM,5:18:33 PM,5:19:55 PM,0:01:22,0:15:06,0:00:01
5:03:30 PM,5:19:55 PM,5:20:52 PM,0:00:57,0:16:25,0:00:03
5:03:35 PM,5:20:52 PM,5:21:58 PM,0:01:06,0:17:17,0:00:05
5:03:45 PM,5:21:58 PM,5:22:15 PM,0:00:17,0:18:13,0:00:10
5:03:49 PM,5:22:15 PM,5:22:48 PM,0:00:33,0:18:26,0:00:04
5:03:59 PM,5:22:48 PM,5:23:15 PM,0:00:27,0:18:49,0:00:10
5:04:02 PM,5:23:15 PM,5:23:57 PM,0:00:42,0:19:13,0:00:03
5:04:03 PM,5:23:57 PM,5:24:15 PM,0:00:18,0:19:54,0:00:01
5:04:04 PM,5:24:15 PM,5:24:39 PM,0:00:24,0:20:11,0:00:01
5:04:05 PM,5:24:39 PM,5:25:31 PM,0:00:52,0:20:34,0:00:01
5:04:06 PM,5:25:31 PM,5:26:15 PM,0:00:44,0:21:25,0:00:01
5:04:07 PM,5:26:15 PM,5:26:35 PM,0:00:20,0:22:08,0:00:01
5:04:08 PM,5:26:35 PM,5:26:55 PM,0:00:20,0:22:27,0:00:01
5:10:15 PM,5:26:55 PM,5:27:55 PM,0:01:00,0:16:40,0:06:07
5:10:16 PM,5:27:55 PM,5:28:52 PM,0:00:57,0:17:39,0:00:01
5:11:20 PM,5:28:52 PM,5:28:52 PM,0:00:00,0:17:32,0:01:04
5:11:38 PM,5:28:52 PM,5:29:52 PM,0:01:00,0:17:14,0:00:18
